example_id,level,stage,source_task,family,site,mutation,recovery_route,broken_validator_ok,expected_outcome,run_id,actual_outcome,as_expected,valid,matched,validator_rejections,calls,note
adapt-l1-01,L1,S1,s1-cor-01,unit_count_as_hundreds,payload.fetches.0.rows,计数以百计（rows：300 → 3）,source_unit_declaration,False,first_pass,adapt-l1-01.adapt.cfg-codex-deepseek.r01,first_pass,True,True,True,,18,一次提交即合规且与 oracle 一致
adapt-l1-02,L1,S1,s1-ops-01,unit_date_compact,payload.fetches.0.params.as_of,日期写成紧凑串（as_of：2026-07-31 → 20260731）,source_unit_declaration,True,first_pass,adapt-l1-02.adapt.cfg-codex-deepseek.r01,first_pass,True,True,True,,18,一次提交即合规且与 oracle 一致
adapt-l1-03,L1,S2,s2-rob-01,unit_count_as_hundreds,payload.panel_ref.rows,计数以百计（rows）,sibling_identity,False,first_pass,adapt-l1-03.adapt.cfg-codex-deepseek.r01,failed,False,True,False,,31,过了校验器但与 oracle 不一致：['payload.field_map']
adapt-l1-04,L1,S3,s3-cor-01,unit_ratio_as_percent,payload.values_ref.coverage,比例写成百分数（coverage：0.933333 → 93.3333）,sibling_identity,False,first_pass,adapt-l1-04.adapt.cfg-codex-deepseek.r01,failed,False,False,,,17,终稿仍不过校验器，且没有停在拒绝上
adapt-l1-05,L1,S4,s4-cor-01,unit_ratio_as_percent,payload.ic_stats.positive_ratio,比例写成百分数（positive_ratio：0.474138 → 47.4138）,sibling_identity,True,first_pass,adapt-l1-05.adapt.cfg-codex-deepseek.r01,first_pass,True,True,True,,18,一次提交即合规且与 oracle 一致
adapt-l1-06,L1,S5,s5-rob-01,unit_count_as_hundreds,payload.coverage.n_valued,计数以百计（n_valued）,sibling_identity,False,first_pass,adapt-l1-06.adapt.cfg-codex-deepseek.r01,first_pass,True,True,True,,21,一次提交即合规且与 oracle 一致
adapt-l1-07,L1,S5,s5-cor-01,unit_date_compact,payload.signals.1.date,日期写成紧凑串（date：2026-07-01 → 20260701）,schema_format,False,first_pass,adapt-l1-07.adapt.cfg-codex-deepseek.r01,first_pass,True,True,True,,25,一次提交即合规且与 oracle 一致
adapt-l1-08,L1,S6,s6-cor-01,unit_date_compact,payload.targets.0.date,日期写成紧凑串（date：2026-07-01 → 20260701）,source_unit_declaration,False,first_pass,adapt-l1-08.adapt.cfg-codex-deepseek.r01,first_pass,True,True,True,,25,一次提交即合规且与 oracle 一致
adapt-l1-09,L1,S7,s7-ops-01,unit_ratio_as_percent,payload.metrics.ann_return_gross,比例写成百分数（ann_return_gross：0.0556468 → 5.56468）,source_unit_declaration,True,first_pass,adapt-l1-09.adapt.cfg-codex-deepseek.r01,first_pass,True,True,True,,23,一次提交即合规且与 oracle 一致
adapt-l1-10,L1,S8,s8-cor-01,unit_price_as_cents,payload.events.0.reference_close,价格以分计（reference_close：10.16 元 → 1016.0 分）,source_unit_declaration,True,first_pass,adapt-l1-10.adapt.cfg-codex-deepseek.r01,first_pass,True,True,True,,16,一次提交即合规且与 oracle 一致
adapt-l2-01,L2,S1,s1-ops-01,lexicon_field,payload.fields_obtained.0,字段名 close 写成 Close（yfinance 的叫法）,vendor_alias,True,first_pass,adapt-l2-01.adapt.cfg-codex-deepseek.r01,first_pass,True,True,True,,35,一次提交即合规且与 oracle 一致
adapt-l2-02,L2,S2,s2-cor-01,lexicon_enum,declarations.adjust,adjust 写成 hfq（源侧同义词，schema 侧是 post）,vendor_alias,False,first_pass,adapt-l2-02.adapt.cfg-codex-deepseek.r01,first_pass,True,True,True,,34,一次提交即合规且与 oracle 一致
adapt-l2-03,L2,S2,s2-eco-01,lexicon_field,payload.field_map.code,字段名 symbol 写成 ts_code（tushare 的叫法）,vendor_alias,True,first_pass,adapt-l2-03.adapt.cfg-codex-deepseek.r01,failed,False,True,False,,24,过了校验器但与 oracle 不一致：['payload.field_map']
adapt-l2-04,L2,S3,s3-eco-01,lexicon_enum,declarations.eval_frequency,eval_frequency 写成 1d（源侧同义词，schema 侧是 daily）,vendor_alias,False,first_pass,adapt-l2-04.adapt.cfg-codex-deepseek.r01,first_pass,True,True,True,,59,一次提交即合规且与 oracle 一致
adapt-l2-05,L2,S4,s4-cor-01,lexicon_enum,declarations.tie_handling,tie_handling 写成 avg（源侧同义词，schema 侧是 average）,vendor_alias,False,first_pass,adapt-l2-05.adapt.cfg-codex-deepseek.r01,first_pass,True,True,True,,19,一次提交即合规且与 oracle 一致
adapt-l2-06,L2,S5,s5-rob-01,lexicon_enum,declarations.value_semantics,value_semantics 写成 raw（源侧同义词，schema 侧是 score）,vendor_alias,False,first_pass,adapt-l2-06.adapt.cfg-codex-deepseek.r01,first_pass,True,True,True,,20,一次提交即合规且与 oracle 一致
adapt-l2-07,L2,S6,s6-eco-01,lexicon_code,payload.targets.0.positions.1.symbol,标的代码写成 sz002142（akshare 记法）,vendor_alias,True,first_pass,adapt-l2-07.adapt.cfg-codex-deepseek.r01,first_pass,True,True,True,,35,一次提交即合规且与 oracle 一致
adapt-l2-08,L2,S6,s6-rob-01,lexicon_enum,declarations.rebalance_frequency,rebalance_frequency 写成 1d（源侧同义词，schema 侧是 daily）,vendor_alias,False,first_pass,adapt-l2-08.adapt.cfg-codex-deepseek.r01,first_pass,True,True,True,,47,一次提交即合规且与 oracle 一致
adapt-l2-09,L2,S7,s7-ops-01,lexicon_enum,declarations.adjust,adjust 写成 hfq（源侧同义词，schema 侧是 post）,vendor_alias,False,first_pass,adapt-l2-09.adapt.cfg-codex-deepseek.r01,first_pass,True,True,True,,18,一次提交即合规且与 oracle 一致
adapt-l2-10,L2,S8,s8-ops-01,lexicon_enum,declarations.slippage_reference_price,slippage_reference_price 写成 ref_close（源侧同义词，schema 侧是 reference_close）,vendor_alias,False,first_pass,adapt-l2-10.adapt.cfg-codex-deepseek.r01,first_pass,True,True,True,,25,一次提交即合规且与 oracle 一致
